experiment simulation item wn word fixdur
STAUB10 17 ORC 1 "The" 220
STAUB10 17 ORC 2 "employees" 210
STAUB10 17 ORC 3 "who" 234
STAUB10 17 ORC 4 "the" 194
STAUB10 17 ORC 1 "The" 332
STAUB10 17 ORC 2 "employees" 190
STAUB10 17 ORC 3 "who" 207
STAUB10 17 ORC 4 "the" 181
STAUB10 17 ORC 5 "fireman" 187
STAUB10 17 ORC 6 "noticed" 307
STAUB10 17 ORC 8 "to" 597
STAUB10 17 ORC 9 "the" 507
STAUB10 17 ORC 10 "clinic" 452
STAUB10 18 SRC 1 "The" 449
STAUB10 18 SRC 1 "The" 161
STAUB10 18 SRC 2 "employees" 172
STAUB10 18 SRC 3 "who" 265
STAUB10 18 SRC 4 "noticed" 208
STAUB10 18 SRC 5 "the" 165
STAUB10 18 SRC 6 "fireman" 148
STAUB10 18 SRC 7 "hurried" 261
STAUB10 18 SRC 8 "to" 170
STAUB10 18 SRC 9 "the" 170
STAUB10 18 SRC 10 "clinic" 239
STAUB10 18 ORC 1 "The" 403
STAUB10 18 ORC 1 "The" 221
STAUB10 18 ORC 2 "employees" 208
STAUB10 18 ORC 3 "who" 223
STAUB10 18 ORC 4 "the" 177
STAUB10 18 ORC 3 "who" 284
STAUB10 18 ORC 4 "the" 201
STAUB10 18 ORC 5 "fireman" 232
STAUB10 18 ORC 6 "noticed" 313
STAUB10 18 ORC 8 "to" 544
STAUB10 18 ORC 9 "the" 530
STAUB10 18 ORC 10 "clinic" 468
STAUB10 19 SRC 1 "The" 480
STAUB10 19 SRC 1 "The" 180
STAUB10 19 SRC 2 "employees" 191
STAUB10 19 SRC 3 "who" 341
STAUB10 19 SRC 5 "the" 461
STAUB10 19 SRC 6 "fireman" 563
STAUB10 19 SRC 7 "hurried" 458
STAUB10 19 SRC 8 "to" 522
STAUB10 19 SRC 9 "the" 473
STAUB10 19 SRC 10 "clinic" 555
STAUB10 19 ORC 1 "The" 454
STAUB10 19 ORC 1 "The" 162
STAUB10 19 ORC 2 "employees" 157
STAUB10 19 ORC 3 "who" 273
STAUB10 19 ORC 4 "the" 192
STAUB10 19 ORC 3 "who" 153
STAUB10 19 ORC 4 "the" 181
STAUB10 19 ORC 5 "fireman" 188
STAUB10 19 ORC 6 "noticed" 186
STAUB10 19 ORC 7 "hurried" 157
STAUB10 19 ORC 8 "to" 156
STAUB10 19 ORC 9 "the" 169
STAUB10 19 ORC 10 "clinic" 195
STAUB10 20 SRC 1 "The" 464
STAUB10 20 SRC 1 "The" 297
STAUB10 20 SRC 2 "employees" 279
STAUB10 20 SRC 4 "noticed" 199
STAUB10 20 SRC 5 "the" 169
STAUB10 20 SRC 6 "fireman" 265
STAUB10 20 SRC 7 "hurried" 280
STAUB10 20 SRC 9 "the" 520
STAUB10 20 SRC 10 "clinic" 533
STAUB10 20 ORC 1 "The" 603
STAUB10 20 ORC 2 "employees" 198
STAUB10 20 ORC 3 "who" 215
STAUB10 20 ORC 4 "the" 193
STAUB10 20 ORC 3 "who" 217
STAUB10 20 ORC 4 "the" 225
STAUB10 20 ORC 5 "fireman" 156
STAUB10 20 ORC 6 "noticed" 150
STAUB10 20 ORC 7 "hurried" 173
STAUB10 20 ORC 8 "to" 500
STAUB10 20 ORC 9 "the" 491
STAUB10 20 ORC 10 "clinic" 496
STAUB10 21 SRC 1 "The" 430
STAUB10 21 SRC 1 "The" 238
STAUB10 21 SRC 2 "employees" 147
STAUB10 21 SRC 3 "who" 260
STAUB10 21 SRC 4 "noticed" 242
STAUB10 21 SRC 5 "the" 159
STAUB10 21 SRC 6 "fireman" 141
STAUB10 21 SRC 7 "hurried" 225
STAUB10 21 SRC 8 "to" 226
STAUB10 21 SRC 9 "the" 191
STAUB10 21 SRC 10 "clinic" 226
STAUB10 21 ORC 1 "The" 454
STAUB10 21 ORC 1 "The" 169
STAUB10 21 ORC 2 "employees" 172
STAUB10 21 ORC 3 "who" 249
STAUB10 21 ORC 4 "the" 223
STAUB10 21 ORC 2 "employees" 244
STAUB10 21 ORC 3 "who" 338
STAUB10 21 ORC 5 "fireman" 158
STAUB10 21 ORC 6 "noticed" 307
STAUB10 21 ORC 8 "to" 449
STAUB10 21 ORC 9 "the" 581
STAUB10 21 ORC 10 "clinic" 476
STAUB10 22 SRC 1 "The" 430
STAUB10 22 SRC 1 "The" 226
STAUB10 22 SRC 2 "employees" 169
STAUB10 22 SRC 3 "who" 262
STAUB10 22 SRC 4 "noticed" 161
STAUB10 22 SRC 5 "the" 185
STAUB10 22 SRC 6 "fireman" 209
STAUB10 22 SRC 7 "hurried" 301
STAUB10 22 SRC 9 "the" 161
STAUB10 22 SRC 10 "clinic" 188
STAUB10 22 ORC 1 "The" 465
STAUB10 22 ORC 1 "The" 139
STAUB10 22 ORC 2 "employees" 266
STAUB10 22 ORC 3 "who" 331
STAUB10 22 ORC 1 "The" 418
STAUB10 22 ORC 3 "who" 226
STAUB10 22 ORC 4 "the" 184
STAUB10 22 ORC 5 "fireman" 193
STAUB10 22 ORC 6 "noticed" 162
STAUB10 22 ORC 7 "hurried" 174
STAUB10 22 ORC 8 "to" 553
STAUB10 22 ORC 9 "the" 515
STAUB10 22 ORC 10 "clinic" 447
STAUB10 23 SRC 1 "The" 454
STAUB10 23 SRC 1 "The" 171
STAUB10 23 SRC 2 "employees" 146
STAUB10 23 SRC 3 "who" 256
STAUB10 23 SRC 4 "noticed" 168
STAUB10 23 SRC 5 "the" 356
STAUB10 23 SRC 7 "hurried" 247
STAUB10 23 SRC 8 "to" 172
STAUB10 23 SRC 9 "the" 429
STAUB10 23 SRC 10 "clinic" 437
STAUB10 23 ORC 1 "The" 407
STAUB10 23 ORC 1 "The" 177
STAUB10 23 ORC 2 "employees" 195
STAUB10 23 ORC 3 "who" 378
STAUB10 23 ORC 2 "employees" 304
STAUB10 23 ORC 3 "who" 297
STAUB10 23 ORC 5 "fireman" 217
STAUB10 23 ORC 6 "noticed" 166
STAUB10 23 ORC 7 "hurried" 151
STAUB10 23 ORC 8 "to" 193
STAUB10 23 ORC 9 "the" 174
STAUB10 23 ORC 10 "clinic" 176
STAUB10 24 SRC 1 "The" 595
STAUB10 24 SRC 2 "employees" 143
STAUB10 24 SRC 3 "who" 265
STAUB10 24 SRC 4 "noticed" 171
STAUB10 24 SRC 5 "the" 157
STAUB10 24 SRC 6 "fireman" 258
STAUB10 24 SRC 7 "hurried" 207
STAUB10 24 SRC 8 "to" 171
STAUB10 24 SRC 9 "the" 215
STAUB10 24 SRC 10 "clinic" 191
STAUB10 24 ORC 1 "The" 436
STAUB10 24 ORC 1 "The" 195
STAUB10 24 ORC 2 "employees" 153
STAUB10 24 ORC 3 "who" 263
STAUB10 24 ORC 4 "the" 164
STAUB10 24 ORC 2 "employees" 437
STAUB10 24 ORC 4 "the" 163
STAUB10 24 ORC 5 "fireman" 149
STAUB10 24 ORC 6 "noticed" 257
STAUB10 24 ORC 7 "hurried" 304
STAUB10 24 ORC 9 "the" 544
STAUB10 24 ORC 10 "clinic" 430
STAUB10 25 SRC 1 "The" 565
STAUB10 25 SRC 2 "employees" 211
STAUB10 25 SRC 3 "who" 236
STAUB10 25 SRC 4 "noticed" 155
STAUB10 25 SRC 5 "the" 513
STAUB10 25 SRC 6 "fireman" 479
STAUB10 25 SRC 7 "hurried" 526
STAUB10 25 SRC 8 "to" 485
STAUB10 25 SRC 9 "the" 544
STAUB10 25 SRC 10 "clinic" 465
STAUB10 25 ORC 1 "The" 395
STAUB10 25 ORC 1 "The" 156
STAUB10 25 ORC 2 "employees" 203
STAUB10 25 ORC 3 "who" 227
STAUB10 25 ORC 4 "the" 171
STAUB10 25 ORC 4 "the" 229
STAUB10 25 ORC 5 "fireman" 164
STAUB10 25 ORC 6 "noticed" 181
STAUB10 25 ORC 7 "hurried" 202
STAUB10 25 ORC 8 "to" 379
STAUB10 25 ORC 9 "the" 506
STAUB10 25 ORC 10 "clinic" 516
STAUB10 26 SRC 1 "The" 463
STAUB10 26 SRC 1 "The" 170
STAUB10 26 SRC 2 "employees" 190
STAUB10 26 SRC 3 "who" 256
STAUB10 26 SRC 4 "noticed" 157
STAUB10 26 SRC 5 "the" 171
STAUB10 26 SRC 6 "fireman" 198
STAUB10 26 SRC 7 "hurried" 155
STAUB10 26 SRC 8 "to" 147
STAUB10 26 SRC 9 "the" 312
STAUB10 26 ORC 1 "The" 464
STAUB10 26 ORC 1 "The" 207
STAUB10 26 ORC 2 "employees" 162
STAUB10 26 ORC 3 "who" 372
STAUB10 26 ORC 5 "fireman" 460
STAUB10 26 ORC 2 "employees" 275
STAUB10 26 ORC 3 "who" 318
STAUB10 26 ORC 5 "fireman" 438
STAUB10 26 ORC 6 "noticed" 266
STAUB10 26 ORC 8 "to" 444
STAUB10 27 SRC 1 "The" 415
STAUB10 27 SRC 1 "The" 143
STAUB10 27 SRC 2 "employees" 266
STAUB10 27 SRC 3 "who" 245
STAUB10 27 SRC 4 "noticed" 228
STAUB10 27 SRC 5 "the" 142
STAUB10 27 SRC 6 "fireman" 225
STAUB10 27 SRC 7 "hurried" 341
STAUB10 27 SRC 9 "the" 182
STAUB10 27 SRC 10 "clinic" 141
STAUB10 27 ORC 1 "The" 439
STAUB10 27 ORC 1 "The" 216
STAUB10 27 ORC 2 "employees" 167
STAUB10 27 ORC 3 "who" 227
STAUB10 27 ORC 4 "the" 213
STAUB10 27 ORC 3 "who" 184
STAUB10 27 ORC 4 "the" 166
STAUB10 27 ORC 5 "fireman" 164
STAUB10 27 ORC 6 "noticed" 243
STAUB10 27 ORC 8 "to" 612
STAUB10 27 ORC 9 "the" 512
STAUB10 27 ORC 10 "clinic" 446
STAUB10 28 SRC 1 "The" 434
STAUB10 28 SRC 1 "The" 180
STAUB10 28 SRC 2 "employees" 210
STAUB10 28 SRC 3 "who" 274
STAUB10 28 SRC 6 "fireman" 535
STAUB10 28 SRC 6 "fireman" 486
STAUB10 28 SRC 7 "hurried" 434
STAUB10 28 SRC 8 "to" 517
STAUB10 28 SRC 9 "the" 197
STAUB10 28 SRC 10 "clinic" 379
STAUB10 28 ORC 1 "The" 420
STAUB10 28 ORC 1 "The" 173
STAUB10 28 ORC 2 "employees" 222
STAUB10 28 ORC 3 "who" 424
STAUB10 28 ORC 2 "employees" 215
STAUB10 28 ORC 3 "who" 338
STAUB10 28 ORC 5 "fireman" 139
STAUB10 28 ORC 6 "noticed" 349
STAUB10 28 ORC 7 "hurried" 623
STAUB10 28 ORC 10 "clinic" 399
STAUB10 29 SRC 1 "The" 433
STAUB10 29 SRC 1 "The" 167
STAUB10 29 SRC 2 "employees" 231
STAUB10 29 SRC 3 "who" 196
STAUB10 29 SRC 4 "noticed" 208
STAUB10 29 SRC 5 "the" 155
STAUB10 29 SRC 6 "fireman" 200
STAUB10 29 SRC 7 "hurried" 219
STAUB10 29 SRC 8 "to" 274
STAUB10 29 SRC 10 "clinic" 228
STAUB10 29 ORC 1 "The" 460
STAUB10 29 ORC 1 "The" 210
STAUB10 29 ORC 2 "employees" 189
STAUB10 29 ORC 3 "who" 281
STAUB10 29 ORC 5 "fireman" 601
STAUB10 29 ORC 3 "who" 273
STAUB10 29 ORC 4 "the" 233
STAUB10 29 ORC 5 "fireman" 558
STAUB10 29 ORC 7 "hurried" 450
STAUB10 29 ORC 10 "clinic" 162
STAUB10 30 SRC 1 "The" 404
STAUB10 30 SRC 1 "The" 146
STAUB10 30 SRC 2 "employees" 245
STAUB10 30 SRC 3 "who" 235
STAUB10 30 SRC 4 "noticed" 272
STAUB10 30 SRC 6 "fireman" 275
STAUB10 30 SRC 7 "hurried" 197
STAUB10 30 SRC 8 "to" 150
STAUB10 30 SRC 9 "the" 160
STAUB10 30 SRC 10 "clinic" 157
STAUB10 30 ORC 1 "The" 457
STAUB10 30 ORC 1 "The" 165
STAUB10 30 ORC 2 "employees" 191
STAUB10 30 ORC 3 "who" 354
STAUB10 30 ORC 5 "fireman" 538
STAUB10 30 ORC 4 "the" 505
STAUB10 30 ORC 5 "fireman" 388
STAUB10 30 ORC 6 "noticed" 274
STAUB10 30 ORC 8 "to" 298
STAUB10 30 ORC 10 "clinic" 222
STAUB10 31 SRC 1 "The" 466
STAUB10 31 SRC 1 "The" 190
STAUB10 31 SRC 2 "employees" 203
STAUB10 31 SRC 3 "who" 223
STAUB10 31 SRC 4 "noticed" 209
STAUB10 31 SRC 5 "the" 184
STAUB10 31 SRC 6 "fireman" 179
STAUB10 31 SRC 7 "hurried" 293
STAUB10 31 SRC 9 "the" 544
STAUB10 31 SRC 10 "clinic" 555
STAUB10 31 ORC 1 "The" 584
STAUB10 31 ORC 2 "employees" 333
STAUB10 31 ORC 4 "the" 183
STAUB10 31 ORC 5 "fireman" 494
STAUB10 31 ORC 3 "who" 271
STAUB10 31 ORC 4 "the" 287
STAUB10 31 ORC 5 "fireman" 398
STAUB10 31 ORC 6 "noticed" 265
STAUB10 31 ORC 8 "to" 287
STAUB10 31 ORC 10 "clinic" 180
STAUB10 32 SRC 1 "The" 437
STAUB10 32 SRC 1 "The" 176
STAUB10 32 SRC 2 "employees" 215
STAUB10 32 SRC 3 "who" 207
STAUB10 32 SRC 4 "noticed" 191
STAUB10 32 SRC 5 "the" 156
STAUB10 32 SRC 6 "fireman" 179
STAUB10 32 SRC 7 "hurried" 170
STAUB10 32 SRC 8 "to" 174
STAUB10 32 SRC 9 "the" 191
STAUB10 32 SRC 10 "clinic" 165
STAUB10 32 ORC 1 "The" 422
STAUB10 32 ORC 1 "The" 161
STAUB10 32 ORC 2 "employees" 217
STAUB10 32 ORC 3 "who" 314
STAUB10 32 ORC 5 "fireman" 464
STAUB10 32 ORC 2 "employees" 225
STAUB10 32 ORC 3 "who" 163
STAUB10 32 ORC 4 "the" 189
STAUB10 32 ORC 5 "fireman" 572
