experiment simulation item wn word attachtime
STAUB10 15 SRC 4 "NOTICED" 32
STAUB10 15 SRC 5 "THE" 39
STAUB10 15 SRC 6 "FIREMAN" 70
STAUB10 15 SRC 7 "HURRIED" 122
STAUB10 15 SRC 7 "TO" 80
STAUB10 15 SRC 7 "THE" 80
STAUB10 15 ORC 1 "THE" 39
STAUB10 15 ORC 2 "EMPLOYEES" 40
STAUB10 15 ORC 3 "WHO" 10
STAUB10 15 ORC 3 "THE" 238
STAUB10 15 ORC 3 "FIREMAN" 80
STAUB10 16 SRC 1 "THE" 70
STAUB10 16 SRC 2 "EMPLOYEES" 33
STAUB10 16 SRC 3 "WHO" 10
STAUB10 16 SRC 4 "NOTICED" 70
STAUB10 16 SRC 5 "THE" 70
STAUB10 16 SRC 6 "FIREMAN" 50
STAUB10 16 SRC 7 "HURRIED" 78
STAUB10 16 SRC 8 "TO" 40
STAUB10 16 SRC 9 "THE" 70
STAUB10 16 SRC 10 "CLINIC" 70
STAUB10 16 ORC 1 "THE" 36
STAUB10 16 ORC 2 "EMPLOYEES" 35
STAUB10 16 ORC 3 "WHO" 10
STAUB10 16 ORC 3 "THE" 168
STAUB10 16 ORC 3 "FIREMAN" 80
STAUB10 17 SRC 1 "THE" 70
STAUB10 17 SRC 2 "EMPLOYEES" 70
STAUB10 17 SRC 3 "WHO" 10
STAUB10 17 SRC 4 "NOTICED" 35
STAUB10 17 SRC 5 "THE" 33
STAUB10 17 SRC 6 "FIREMAN" 70
STAUB10 17 SRC 7 "HURRIED" 138
STAUB10 17 SRC 7 "TO" 80
STAUB10 17 SRC 7 "THE" 80
STAUB10 17 ORC 1 "THE" 37
STAUB10 17 ORC 2 "EMPLOYEES" 70
STAUB10 17 ORC 3 "WHO" 10
STAUB10 17 ORC 4 "THE" 189
STAUB10 17 ORC 5 "FIREMAN" 42
STAUB10 17 ORC 6 "NOTICED" 178
STAUB10 17 ORC 6 "HURRIED" 91
STAUB10 17 ORC 6 "TO" 80
STAUB10 17 ORC 6 "THE" 80
STAUB10 18 SRC 1 "THE" 70
STAUB10 18 SRC 2 "EMPLOYEES" 70
STAUB10 18 SRC 3 "WHO" 10
STAUB10 18 SRC 4 "NOTICED" 32
STAUB10 18 SRC 5 "THE" 70
STAUB10 18 SRC 6 "FIREMAN" 42
STAUB10 18 SRC 7 "HURRIED" 103
STAUB10 18 SRC 8 "TO" 43
STAUB10 18 SRC 9 "THE" 41
STAUB10 18 SRC 10 "CLINIC" 39
STAUB10 18 ORC 1 "THE" 38
STAUB10 18 ORC 2 "EMPLOYEES" 70
STAUB10 18 ORC 3 "WHO" 10
STAUB10 18 ORC 4 "THE" 237
STAUB10 18 ORC 5 "FIREMAN" 70
STAUB10 18 ORC 6 "NOTICED" 195
STAUB10 18 ORC 6 "HURRIED" 104
STAUB10 18 ORC 6 "TO" 80
STAUB10 18 ORC 6 "THE" 30
STAUB10 19 SRC 1 "THE" 70
STAUB10 19 SRC 2 "EMPLOYEES" 40
STAUB10 19 SRC 3 "WHO" 10
STAUB10 19 SRC 3 "NOTICED" 80
STAUB10 19 SRC 3 "THE" 80
STAUB10 19 SRC 3 "FIREMAN" 80
STAUB10 19 SRC 3 "HURRIED" 102
STAUB10 19 SRC 3 "TO" 80
STAUB10 19 SRC 3 "THE" 80
STAUB10 19 ORC 1 "THE" 70
STAUB10 19 ORC 2 "EMPLOYEES" 70
STAUB10 19 ORC 3 "WHO" 10
STAUB10 19 ORC 4 "THE" 178
STAUB10 19 ORC 5 "FIREMAN" 30
STAUB10 19 ORC 6 "NOTICED" 127
STAUB10 19 ORC 7 "HURRIED" 70
STAUB10 19 ORC 8 "TO" 70
STAUB10 19 ORC 9 "THE" 70
STAUB10 19 ORC 10 "CLINIC" 39
STAUB10 20 SRC 1 "THE" 70
STAUB10 20 SRC 2 "EMPLOYEES" 40
STAUB10 20 SRC 3 "WHO" 10
STAUB10 20 SRC 4 "NOTICED" 34
STAUB10 20 SRC 5 "THE" 38
STAUB10 20 SRC 6 "FIREMAN" 38
STAUB10 20 SRC 7 "HURRIED" 167
STAUB10 20 SRC 7 "TO" 80
STAUB10 20 SRC 7 "THE" 80
STAUB10 20 ORC 1 "THE" 63
STAUB10 20 ORC 2 "EMPLOYEES" 42
STAUB10 20 ORC 3 "WHO" 10
STAUB10 20 ORC 4 "THE" 249
STAUB10 20 ORC 5 "FIREMAN" 47
STAUB10 20 ORC 6 "NOTICED" 136
STAUB10 20 ORC 6 "HURRIED" 80
STAUB10 20 ORC 6 "TO" 80
STAUB10 20 ORC 6 "THE" 30
STAUB10 21 SRC 1 "THE" 34
STAUB10 21 SRC 2 "EMPLOYEES" 70
STAUB10 21 SRC 3 "WHO" 10
STAUB10 21 SRC 4 "NOTICED" 36
STAUB10 21 SRC 5 "THE" 70
STAUB10 21 SRC 6 "FIREMAN" 42
STAUB10 21 SRC 7 "HURRIED" 105
STAUB10 21 SRC 8 "TO" 38
STAUB10 21 SRC 9 "THE" 40
STAUB10 21 SRC 10 "CLINIC" 70
STAUB10 21 ORC 1 "THE" 70
STAUB10 21 ORC 2 "EMPLOYEES" 43
STAUB10 21 ORC 3 "WHO" 10
STAUB10 21 ORC 4 "THE" 231
STAUB10 21 ORC 5 "FIREMAN" 70
STAUB10 21 ORC 6 "NOTICED" 140
STAUB10 21 ORC 6 "HURRIED" 89
STAUB10 21 ORC 6 "TO" 80
STAUB10 21 ORC 6 "THE" 80
STAUB10 22 SRC 1 "THE" 70
STAUB10 22 SRC 2 "EMPLOYEES" 51
STAUB10 22 SRC 3 "WHO" 10
STAUB10 22 SRC 4 "NOTICED" 70
STAUB10 22 SRC 5 "THE" 70
STAUB10 22 SRC 6 "FIREMAN" 41
STAUB10 22 SRC 7 "HURRIED" 70
STAUB10 22 SRC 8 "TO" 70
STAUB10 22 SRC 9 "THE" 70
STAUB10 22 SRC 10 "CLINIC" 52
STAUB10 22 ORC 1 "THE" 70
STAUB10 22 ORC 2 "EMPLOYEES" 38
STAUB10 22 ORC 3 "WHO" 10
STAUB10 22 ORC 4 "THE" 224
STAUB10 22 ORC 5 "FIREMAN" 43
STAUB10 22 ORC 6 "NOTICED" 156
STAUB10 22 ORC 6 "HURRIED" 106
STAUB10 22 ORC 6 "TO" 80
STAUB10 22 ORC 6 "THE" 80
STAUB10 23 SRC 1 "THE" 33
STAUB10 23 SRC 2 "EMPLOYEES" 33
STAUB10 23 SRC 3 "WHO" 10
STAUB10 23 SRC 4 "NOTICED" 70
STAUB10 23 SRC 5 "THE" 40
STAUB10 23 SRC 6 "FIREMAN" 70
STAUB10 23 SRC 7 "HURRIED" 97
STAUB10 23 SRC 7 "TO" 80
STAUB10 23 SRC 7 "THE" 80
STAUB10 23 ORC 1 "THE" 42
STAUB10 23 ORC 2 "EMPLOYEES" 70
STAUB10 23 ORC 3 "WHO" 10
STAUB10 23 ORC 4 "THE" 269
STAUB10 23 ORC 5 "FIREMAN" 31
STAUB10 23 ORC 6 "NOTICED" 140
STAUB10 23 ORC 7 "HURRIED" 108
STAUB10 23 ORC 8 "TO" 46
STAUB10 23 ORC 9 "THE" 40
STAUB10 23 ORC 10 "CLINIC" 70
STAUB10 24 SRC 1 "THE" 50
STAUB10 24 SRC 2 "EMPLOYEES" 70
STAUB10 24 SRC 3 "WHO" 10
STAUB10 24 SRC 4 "NOTICED" 41
STAUB10 24 SRC 5 "THE" 36
STAUB10 24 SRC 6 "FIREMAN" 38
STAUB10 24 SRC 7 "HURRIED" 67
STAUB10 24 SRC 8 "TO" 42
STAUB10 24 SRC 9 "THE" 43
STAUB10 24 SRC 10 "CLINIC" 51
STAUB10 24 ORC 1 "THE" 70
STAUB10 24 ORC 2 "EMPLOYEES" 34
STAUB10 24 ORC 3 "WHO" 10
STAUB10 24 ORC 4 "THE" 193
STAUB10 24 ORC 5 "FIREMAN" 35
STAUB10 24 ORC 6 "NOTICED" 132
STAUB10 24 ORC 7 "HURRIED" 159
STAUB10 24 ORC 7 "TO" 80
STAUB10 24 ORC 7 "THE" 30
STAUB10 25 SRC 1 "THE" 70
STAUB10 25 SRC 2 "EMPLOYEES" 43
STAUB10 25 SRC 3 "WHO" 10
STAUB10 25 SRC 3 "NOTICED" 80
STAUB10 25 SRC 3 "THE" 80
STAUB10 25 SRC 3 "FIREMAN" 80
STAUB10 25 SRC 3 "HURRIED" 88
STAUB10 25 SRC 3 "TO" 80
STAUB10 25 SRC 3 "THE" 80
STAUB10 25 ORC 1 "THE" 39
STAUB10 25 ORC 2 "EMPLOYEES" 37
STAUB10 25 ORC 3 "WHO" 10
STAUB10 25 ORC 4 "THE" 221
STAUB10 25 ORC 5 "FIREMAN" 41
STAUB10 25 ORC 6 "NOTICED" 148
STAUB10 25 ORC 6 "HURRIED" 80
STAUB10 25 ORC 6 "TO" 80
STAUB10 25 ORC 6 "THE" 80
STAUB10 26 SRC 1 "THE" 40
STAUB10 26 SRC 2 "EMPLOYEES" 43
STAUB10 26 SRC 3 "WHO" 10
STAUB10 26 SRC 4 "NOTICED" 70
STAUB10 26 SRC 5 "THE" 70
STAUB10 26 SRC 6 "FIREMAN" 70
STAUB10 26 SRC 7 "HURRIED" 80
STAUB10 26 SRC 8 "TO" 53
STAUB10 26 SRC 9 "THE" 70
STAUB10 26 SRC 10 "CLINIC" 45
STAUB10 26 ORC 1 "THE" 40
STAUB10 26 ORC 2 "EMPLOYEES" 40
STAUB10 26 ORC 3 "WHO" 10
STAUB10 26 ORC 3 "THE" 221
STAUB10 26 ORC 3 "FIREMAN" 80
STAUB10 27 SRC 1 "THE" 39
STAUB10 27 SRC 2 "EMPLOYEES" 40
STAUB10 27 SRC 3 "WHO" 10
STAUB10 27 SRC 4 "NOTICED" 38
STAUB10 27 SRC 5 "THE" 70
STAUB10 27 SRC 6 "FIREMAN" 70
STAUB10 27 SRC 7 "HURRIED" 82
STAUB10 27 SRC 8 "TO" 70
STAUB10 27 SRC 9 "THE" 35
STAUB10 27 SRC 10 "CLINIC" 70
STAUB10 27 ORC 1 "THE" 36
STAUB10 27 ORC 2 "EMPLOYEES" 70
STAUB10 27 ORC 3 "WHO" 10
STAUB10 27 ORC 4 "THE" 128
STAUB10 27 ORC 5 "FIREMAN" 70
STAUB10 27 ORC 6 "NOTICED" 189
STAUB10 27 ORC 6 "HURRIED" 80
STAUB10 27 ORC 6 "TO" 80
STAUB10 27 ORC 6 "THE" 80
STAUB10 28 SRC 1 "THE" 35
STAUB10 28 SRC 2 "EMPLOYEES" 70
STAUB10 28 SRC 3 "WHO" 10
STAUB10 28 SRC 3 "NOTICED" 80
STAUB10 28 SRC 3 "THE" 80
STAUB10 28 SRC 3 "FIREMAN" 80
STAUB10 28 SRC 3 "HURRIED" 207
STAUB10 28 SRC 3 "TO" 80
STAUB10 28 ORC 1 "THE" 70
STAUB10 28 ORC 2 "EMPLOYEES" 70
STAUB10 28 ORC 3 "WHO" 10
STAUB10 28 ORC 4 "THE" 184
STAUB10 28 ORC 5 "FIREMAN" 52
STAUB10 28 ORC 6 "NOTICED" 208
STAUB10 28 ORC 6 "HURRIED" 169
STAUB10 28 ORC 6 "TO" 80
STAUB10 29 SRC 1 "THE" 70
STAUB10 29 SRC 2 "EMPLOYEES" 38
STAUB10 29 SRC 3 "WHO" 10
STAUB10 29 SRC 4 "NOTICED" 40
STAUB10 29 SRC 5 "THE" 70
STAUB10 29 SRC 6 "FIREMAN" 70
STAUB10 29 SRC 7 "HURRIED" 70
STAUB10 29 SRC 8 "TO" 70
STAUB10 29 SRC 9 "THE" 33
STAUB10 29 SRC 10 "CLINIC" 44
STAUB10 29 ORC 1 "THE" 32
STAUB10 29 ORC 2 "EMPLOYEES" 70
STAUB10 29 ORC 3 "WHO" 10
STAUB10 29 ORC 3 "THE" 279
STAUB10 29 ORC 3 "FIREMAN" 40
STAUB10 30 SRC 1 "THE" 45
STAUB10 30 SRC 2 "EMPLOYEES" 40
STAUB10 30 SRC 3 "WHO" 10
STAUB10 30 SRC 4 "NOTICED" 70
STAUB10 30 SRC 5 "THE" 36
STAUB10 30 SRC 6 "FIREMAN" 37
STAUB10 30 SRC 7 "HURRIED" 87
STAUB10 30 SRC 8 "TO" 36
STAUB10 30 SRC 9 "THE" 70
STAUB10 30 SRC 10 "CLINIC" 70
STAUB10 30 ORC 1 "THE" 34
STAUB10 30 ORC 2 "EMPLOYEES" 42
STAUB10 30 ORC 3 "WHO" 10
STAUB10 30 ORC 3 "THE" 235
STAUB10 30 ORC 3 "FIREMAN" 80
STAUB10 31 SRC 1 "THE" 70
STAUB10 31 SRC 2 "EMPLOYEES" 34
STAUB10 31 SRC 3 "WHO" 10
STAUB10 31 SRC 4 "NOTICED" 70
STAUB10 31 SRC 5 "THE" 70
STAUB10 31 SRC 6 "FIREMAN" 58
STAUB10 31 SRC 7 "HURRIED" 184
STAUB10 31 SRC 7 "TO" 80
STAUB10 31 SRC 7 "THE" 80
STAUB10 31 ORC 1 "THE" 51
STAUB10 31 ORC 2 "EMPLOYEES" 70
STAUB10 31 ORC 3 "WHO" 10
STAUB10 31 ORC 3 "THE" 246
STAUB10 31 ORC 3 "FIREMAN" 41
STAUB10 32 SRC 1 "THE" 70
STAUB10 32 SRC 2 "EMPLOYEES" 70
STAUB10 32 SRC 3 "WHO" 10
STAUB10 32 SRC 4 "NOTICED" 37
STAUB10 32 SRC 5 "THE" 38
STAUB10 32 SRC 6 "FIREMAN" 70
STAUB10 32 SRC 7 "HURRIED" 70
STAUB10 32 SRC 8 "TO" 47
STAUB10 32 SRC 9 "THE" 70
STAUB10 32 SRC 10 "CLINIC" 34
STAUB10 32 ORC 1 "THE" 70
STAUB10 32 ORC 2 "EMPLOYEES" 36
STAUB10 32 ORC 3 "WHO" 10
STAUB10 32 ORC 3 "THE" 118
STAUB10 32 ORC 3 "FIREMAN" 80
STAUB10 33 SRC 1 "THE" 70
STAUB10 33 SRC 2 "EMPLOYEES" 70
STAUB10 33 SRC 3 "WHO" 10
STAUB10 33 SRC 4 "NOTICED" 30
STAUB10 33 SRC 5 "THE" 39
STAUB10 33 SRC 6 "FIREMAN" 70
STAUB10 33 SRC 7 "HURRIED" 115
STAUB10 33 SRC 8 "TO" 70
STAUB10 33 SRC 9 "THE" 38
STAUB10 33 SRC 10 "CLINIC" 45
STAUB10 33 ORC 1 "THE" 37
STAUB10 33 ORC 2 "EMPLOYEES" 39
STAUB10 33 ORC 3 "WHO" 10
STAUB10 33 ORC 3 "THE" 262
STAUB10 33 ORC 3 "FIREMAN" 80
STAUB10 34 SRC 1 "THE" 41
STAUB10 34 SRC 2 "EMPLOYEES" 39
STAUB10 34 SRC 3 "WHO" 10
STAUB10 34 SRC 4 "NOTICED" 42
STAUB10 34 SRC 5 "THE" 40
STAUB10 34 SRC 6 "FIREMAN" 39
STAUB10 34 SRC 7 "HURRIED" 65
STAUB10 34 SRC 8 "TO" 39
STAUB10 34 SRC 9 "THE" 70
STAUB10 34 SRC 10 "CLINIC" 70
STAUB10 34 ORC 1 "THE" 37
STAUB10 34 ORC 2 "EMPLOYEES" 32
STAUB10 34 ORC 3 "WHO" 10
STAUB10 34 ORC 4 "THE" 156
STAUB10 34 ORC 5 "FIREMAN" 46
STAUB10 34 ORC 6 "NOTICED" 189
STAUB10 34 ORC 6 "HURRIED" 99
STAUB10 34 ORC 6 "TO" 80
STAUB10 34 ORC 6 "THE" 80
STAUB10 35 SRC 1 "THE" 39
STAUB10 35 SRC 2 "EMPLOYEES" 39
STAUB10 35 SRC 3 "WHO" 10
STAUB10 35 SRC 3 "NOTICED" 80
STAUB10 35 SRC 3 "THE" 80
STAUB10 35 SRC 3 "FIREMAN" 80
STAUB10 35 SRC 3 "HURRIED" 80
STAUB10 35 SRC 3 "TO" 80
STAUB10 35 SRC 3 "THE" 80
STAUB10 35 ORC 1 "THE" 70
STAUB10 35 ORC 2 "EMPLOYEES" 39
STAUB10 35 ORC 3 "WHO" 10
STAUB10 35 ORC 4 "THE" 238
STAUB10 35 ORC 5 "FIREMAN" 37
STAUB10 35 ORC 6 "NOTICED" 113
STAUB10 35 ORC 7 "HURRIED" 102
STAUB10 35 ORC 8 "TO" 34
STAUB10 35 ORC 9 "THE" 37
STAUB10 35 ORC 10 "CLINIC" 44
STAUB10 36 SRC 1 "THE" 70
STAUB10 36 SRC 2 "EMPLOYEES" 38
STAUB10 36 SRC 3 "WHO" 10
